,name,company,year,price,kms_driven,fuel_type
16589,Toyota Corolla,Toyota ,2017,2900000,65500,Petrol
16590,Honda Civic,Honda ,2008,1295000,95000,Petrol
16591,Suzuki Bolan,Suzuki ,1990,345000,50000,Petrol
16592,Suzuki Bolan,Suzuki ,2019,450000,53000,Petrol
16593,Suzuki Alto,Suzuki ,2006,645000,223000,Petrol
16594,FAW X-PV,FAW ,2014,880000,46000,Petrol
16595,Nissan Sunny,Nissan ,2010,1425000,180000,Petrol
16596,Toyota Corolla,Toyota ,2011,1420000,93000,Petrol
16597,Suzuki Alto,Suzuki ,2008,625000,120000,Petrol
16598,Honda City,Honda ,2017,2075000,72200,Petrol
16599,Suzuki Mehran,Suzuki ,2007,455000,120000,Petrol
16600,Mercedes Benz,Mercedes ,2004,1825000,222100,Petrol
16601,Suzuki Cultus,Suzuki ,2006,595000,79362,Petrol
16602,Honda City,Honda ,2017,2150000,54000,Petrol
16603,Suzuki Cultus,Suzuki ,2008,845000,68897,Petrol
16604,Toyota Corolla,Toyota ,2012,1720000,131000,Petrol
16605,Daihatsu Mira,Daihatsu ,2014,1320000,46954,Petrol
16606,Toyota Surf,Toyota ,2002,2500000,200000,Diesel
16607,Toyota Corolla,Toyota ,2012,1720000,131000,Petrol
16608,Honda City,Honda ,2010,1435000,120000,Petrol
16609,Suzuki Cultus,Suzuki ,2018,1600000,31000,Petrol
16610,Toyota Prado,Toyota ,2005,6000000,60000,Diesel
16611,Toyota Passo,Toyota ,2011,1500000,65000,Petrol
16612,Toyota Hilux,Toyota ,2013,4600000,66400,Diesel
16613,Suzuki Cultus,Suzuki ,2015,1200000,32000,Petrol
16614,Honda Civic,Honda ,2010,1410000,190000,Petrol
16615,Suzuki Mehran,Suzuki ,2004,475000,84000,Petrol
16616,Toyota Vitz,Toyota ,2012,1715000,84429,Petrol
16617,Honda City,Honda ,1999,440000,85000,Petrol
16618,Suzuki Cultus,Suzuki ,2017,1660000,31000,Petrol
16619,Toyota Vitz,Toyota ,2013,1700000,100000,Petrol
